Title,All Pass,Status,Screening,Tracking,Sub Date,Sales,Active,Sub By,Sub To,Film List,Type,Genre,Director,Budget,Writer,Read By,Producer,Last Updated,Cast,Script,Coverage,DVD,Logline,Notes,Festival,Screening,Priority I,Festival Wrap Up,Priority II,Bought By,Insert Coverage Text Here,Insert Script File Here,Insert Coverage File Here
Criminal Empire for Dummy's,,Pre-Production,,,,Arclight,,,,,,Thriller,Cliff Dorfman,$10 Mil,Cliff Dorfman,,Michael Roban,,"Gary Oldman (THE DARK KNIGHT, JFK, DRACULA), Rachel Bilson (JUMPER, THE OC), Travis Fimmel with Harvey Keitel (RESERVOIR DOGS, BAD LIEUTENANT, TAXI DRIVER) and Michael Clarke Duncan (SPIDER MAN, SIN CITY)",,,,"Lesson One – If you are going to be a gangster you are going to get caught. Not a matter of it, just a matter of when. ","Wait to see something (MW)
BLX: 400K
FR; 750K
IT: 750K
SW: 75K
SCAN: 500K
LA: 750K
PORT: 100K
ME: 150K
UK 800k
OZ 450k",,,,,,,,,
"fallen, the",,Pre-Production,,,04/23/2010,Arclight,,Joann,,,Script,Thriller,James Mottern,,"Emilio Mauro, Michael Yebba",Steve Murphy,Celine Rattray,05/05/2010,Paul Walker,Script,Coverage,,"Inspired by the true story of a Boston firefighter, ""The Fallen"" is a gripping portrayal of one man's battle with his toughest opponent of all. Himself. ",,Cannes 2010,,,,,,###############################################################################################################################################################################################################################################################,THE FALLEN script.pdf,
"Few Best Men, A",,Pre-Production,,,02/01/2010,Arclight,,Mark Lindsay,,,Script,,Stephen Elliot,,Dean Craig,"ML Read, JS Read","Laurence Malkin, Share Stallings, Todd Felkdman",05/06/2010,,Script,Coverage,,###############################################################################################################################################################################################################################################################,"Reader says fast-paced and funny, full of situational comedy and some gross-out humor. Worth considering further.
",Cannes 2010,,,,,,###############################################################################################################################################################################################################################################################,,a few best men.docx
king lear,,Pre-Production,,,,Arclight,,,,,,Epic Drama,Michael Radford,,William Shakespear,,Barry Navidi,05/05/2010,Al Pacino,,,,###############################################################################################################################################################################################################################################################,,Cannes 2010,,,,,,,,
"kings of mykonos, the",,Post-Production,,,,Arclight,,,,,,Comedy,Peter Andrikidis,,Chris Anastassiades,,"Emile Sherman, Nick Giannopoulos",05/05/2010,"Nick Giannopoulos, Vince Colosimo, Alex Dimitriades",,,,###############################################################################################################################################################################################################################################################,,Cannes 2010,,,,,,,,
"Loved Ones, THE",,Complete,,,,Arclight,,,,,,Teen Horror,Sean Byrne ,,Sean Byrne,,"Mark Lazarus, Michael Boughen",05/05/2010,"Xavier Samuel, Robin McLeavy, John Brumpton",,,,"BRENT (Xavier Samuel) has never really recovered from the night of his car crash. It's the crash that killed his father, the crash that he was responsible for, and his only solace is his loving girlfriend HOLLY (Victoria Thaine).","UK - Optimum
",,,,,,UK: Optimum,,,
mental,,Pre Produciton,,,,Arclight,,,,,,,P.J. Hogan,$15 Mil.,P.J. Hogan,Jonathan Auxier,"Jerry Zucker, Janet Zucker",05/02/2010,Toni Collette,Script,Coverage,,###############################################################################################################################################################################################################################################################,,Cannes 2010,,,,,,###############################################################################################################################################################################################################################################################,,
Red Hill ,,Complete,,,,Arclight,,,,,,Action,Patrick Hughes,,Patrick Hughes,,"Al Clark, Patrick Hughes",05/06/2010,"Ryan Kwanten (TRUE BLOOD), Steve Bisley (MAD MAX), Tom E. Lewis (THE PROPOSITION, THE CHANT OF JIMMY BLACKSMITH) Claire Van Der Boom (BAND OF BROTHERS)",,,,###############################################################################################################################################################################################################################################################,###############################################################################################################################################################################################################################################################,Cannes 2010,THURS 13 - 17:30@STAR 3,,,,,,,
Salvation Boulevard,,Production,,,,Arclight,,,,,,Thriller,George Ratliff,$12 Mil.,"George Ratliff, Douglas Stone",Steve Murphy,"Cathy Schulman, Celine Rattray",05/03/2010,"Pierce Brosnan, Jennifer Garner, Greg Kinnear and Ed Harris",,Coverage,,###############################################################################################################################################################################################################################################################,,Cannes 2010,,,,,,###############################################################################################################################################################################################################################################################,,
Stolen Lives,,Complete,,,,Arclight,,,,,,Thriller,Andres Anderson,,Glenn Taranto,,"Anders Anderson, Al Corley",,"Josh Lucas, Jon Hamm, Rhona Mitra, James Van Der Beek",,,,###############################################################################################################################################################################################################################################################,"IT 150k
SCAN 75k
INDO 15k
UK 250k",,,,,,,,,
